fn,game,true,pred_tv,s_tv,g_tv,pred_bil,s_bil,g_bil
PXL_20260614_151402616.jpg,yugioh,ygo-SDBT-EN009-36956512,ygo-BROL-EN074-36956512,0.9103,0.0,ygo-BROL-EN074-36956512,0.9097,0.0
PXL_20260614_151411807.jpg,yugioh,ygo-SGX3-ENE02-49881766,ygo-YS15-END02-49881766,0.8605,0.0,ygo-DCR-057-49881766,0.8526,0.0
PXL_20260614_151420622.jpg,yugioh,ygo-MP24-EN331-33925864,ygo-MP24-EN331-33925864,0.8816,0.0,ygo-MP24-EN331-33925864,0.8799,0.0
PXL_20260614_151428467.jpg,yugioh,ygo-BLMR-EN046-97417863,ygo-RA04-EN284-13331639,0.7352,0.0018,ygo-RA04-EN284-13331639,0.7376,0.0028
PXL_20260614_151439224.jpg,yugioh,ygo-SDBT-EN016-85032782,ygo-SDBT-EN016-85032782,0.8811,0.0,ygo-SDBT-EN016-85032782,0.8775,0.0
PXL_20260614_151447730.jpg,yugioh,ygo-SGX3-END11-32807846,ygo-SR02-EN031-32807846,0.8488,0.0,ygo-SR02-EN031-32807846,0.8524,0.0
PXL_20260614_151459012.jpg,yugioh,ygo-MP24-EN319-12954226,ygo-PHHY-EN042-12954226,0.8968,0.0,ygo-MP24-EN319-12954226,0.8994,0.0
PXL_20260614_151505558.jpg,mtg,mtg-snc-269,mtg-snc-269,0.9346,0.0351,mtg-snc-269,0.936,0.0325
PXL_20260614_151512899.jpg,mtg,mtg-snc-122,mtg-snc-122,0.9009,0.0719,mtg-snc-122,0.9046,0.0675
PXL_20260614_151526754.jpg,mtg,mtg-snc-18,mtg-j22-200,0.8672,0.0067,mtg-j22-200,0.8663,0.0069
PXL_20260614_151532589.jpg,mtg,mtg-snc-132,mtg-snc-132,0.8452,0.0369,mtg-snc-132,0.8487,0.0513
PXL_20260614_151541285.jpg,pokemon,swsh11-75,swsh11-75,0.9178,0.0485,swsh11-75,0.922,0.0522
PXL_20260614_151551049.jpg,pokemon,me1-112,me1-112,0.9176,0.1317,me1-112,0.9229,0.133
PXL_20260614_151557195.jpg,pokemon,swsh11-4,swsh11-4,0.9233,0.0474,swsh11-4,0.9238,0.0458
PXL_20260614_151605356.jpg,pokemon,swsh11-44,swsh11-44,0.9099,0.0857,swsh11-44,0.9094,0.0809
PXL_20260614_151612027.jpg,pokemon,me1-24,me1-24,0.9268,0.0636,me1-24,0.9304,0.0583
PXL_20260614_151618378.jpg,pokemon,swsh11-2,swsh11-2,0.9038,0.0538,swsh11-2,0.9079,0.051
PXL_20260614_151624928.jpg,pokemon,swsh11-68,swsh11-68,0.939,0.063,swsh11-68,0.9389,0.0665
PXL_20260614_151632925.jpg,pokemon,me2pt5-16,sv8pt5-4,0.8955,0.0006,me2pt5-16,0.9037,0.0011
PXL_20260614_151640950.jpg,pokemon,rsv10pt5-11,rsv10pt5-11,0.9286,0.0183,rsv10pt5-11,0.9282,0.0163
PXL_20260614_151648762.jpg,pokemon,rsv10pt5-22,rsv10pt5-22,0.8986,0.0737,rsv10pt5-22,0.9084,0.0769
PXL_20260614_151658774.jpg,pokemon,swsh12-31,swsh12-31,0.9334,0.0732,swsh12-31,0.9324,0.0769
PXL_20260614_151708246.jpg,pokemon,zsv10pt5-30,zsv10pt5-30,0.8875,0.0004,zsv10pt5-30,0.8893,0.0017
PXL_20260614_151716709.jpg,pokemon,sv1-22,sv1-22,0.9198,0.1005,sv1-22,0.9182,0.0885
PXL_20260614_151723180.jpg,pokemon,sv1-12,sv1-12,0.9166,0.0814,sv1-12,0.9181,0.0868
PXL_20260614_151731390.jpg,pokemon,sv4pt5-86,sv4pt5-86,0.8307,0.0498,sv4pt5-86,0.8339,0.0458
PXL_20260614_151740892.jpg,pokemon,me2pt5-161,me2pt5-161,0.8916,0.0002,sv10-149,0.8987,0.001
PXL_20260614_151746897.jpg,pokemon,me2pt5-17,me2pt5-17,0.8761,0.0135,me2pt5-17,0.8806,0.0158
PXL_20260614_151753491.jpg,pokemon,me2pt5-216,me2pt5-216,0.8934,0.0032,me2pt5-216,0.8953,0.0046
PXL_20260614_151759942.jpg,pokemon,sv3pt5-98,sv3pt5-98,0.948,0.0961,sv3pt5-98,0.9471,0.0908
PXL_20260614_151809612.jpg,pokemon,sv8pt5-81,sv8pt5-81,0.9268,0.1024,sv8pt5-81,0.9316,0.1094
PXL_20260614_151820267.jpg,pokemon,me3-75,me3-75,0.9229,0.1221,me3-75,0.9173,0.1108
PXL_20260614_151829888.jpg,pokemon,sv8-184,sv8-184,0.924,0.0645,sv8-184,0.9188,0.0534
PXL_20260614_151837934.jpg,pokemon,me3-84,me3-84,0.8883,0.087,me3-84,0.8992,0.0945
PXL_20260614_151856075.jpg,pokemon,sv4pt5-18,sv4pt5-18,0.9344,0.0011,sv2-62,0.9331,0.0002
PXL_20260614_151902040.jpg,pokemon,sv4pt5-77,sv4pt5-77,0.8525,0.1269,sv4pt5-77,0.8676,0.1329
PXL_20260614_151908385.jpg,pokemon,swsh12-1,swsh12-1,0.9098,0.0797,swsh12-1,0.9143,0.0733
PXL_20260614_151918734.jpg,pokemon,zsv10pt5-74,zsv10pt5-74,0.9374,0.077,zsv10pt5-74,0.9118,0.084
PXL_20260614_151927501.jpg,pokemon,sv3-126,sv3-126,0.878,0.0461,sv3-126,0.8796,0.0415
PXL_20260614_151934750.jpg,pokemon,rsv10pt5-28,rsv10pt5-28,0.8861,0.0549,rsv10pt5-28,0.8911,0.0575
PXL_20260614_151941246.jpg,pokemon,sv3-174,sv3-174,0.9044,0.0607,sv3-174,0.9072,0.0571
PXL_20260614_151948024.jpg,pokemon,me1-69,me1-69,0.9279,0.0536,me1-69,0.9249,0.0501
PXL_20260614_151954420.jpg,pokemon,swsh11-145,swsh11-145,0.8969,0.0369,swsh11-145,0.8989,0.04
PXL_20260614_151959842.jpg,pokemon,rsv10pt5-1,rsv10pt5-1,0.9113,0.0432,rsv10pt5-1,0.9051,0.044
PXL_20260614_152010902.jpg,pokemon,rsv10pt5-28,rsv10pt5-28,0.9252,0.0562,rsv10pt5-28,0.9222,0.0532
PXL_20260614_152021207.jpg,pokemon,rsv10pt5-73,rsv10pt5-73,0.9136,0.1064,rsv10pt5-73,0.9145,0.1012
PXL_20260614_152028080.jpg,pokemon,me1-31,me1-31,0.8975,0.0541,me1-31,0.9181,0.0689
PXL_20260614_152036990.jpg,pokemon,me1-18,me1-18,0.8816,0.0683,me1-18,0.8912,0.0816
PXL_20260614_152044949.jpg,pokemon,rsv10pt5-58,rsv10pt5-58,0.8606,0.0595,rsv10pt5-58,0.8619,0.051
